Source,Source Name,Target,Target Name,Weight,Type
10000010,George Abbot,10007087,Thomas Lake,28,Undirected
10000010,George Abbot,10007175,William Laud,98,Undirected
10000010,George Abbot,10007273,Humphrey Leech,41,Undirected
10000010,George Abbot,10007282,Bartholomew Legate,39,Undirected
10000010,George Abbot,10007399,William Lewis,34,Undirected
10000010,George Abbot,10007703,Humphrey Lynde,55,Undirected
10000010,George Abbot,10008012,Anthony Marten,51,Undirected
10000010,George Abbot,10008014,Henry Marten,38,Undirected
10000010,George Abbot,10008105,Leonard Mawe,17,Undirected
10000010,George Abbot,10008130,Theodore Turquet de Mayerne,22,Undirected
10000010,George Abbot,10008329,Richard Mocket,76,Undirected
10000010,George Abbot,10008359,Giles Mompesson,56,Undirected
10000010,George Abbot,10008392,Henry Montagu,37,Undirected
10000010,George Abbot,10008393,James Montagu,82,Undirected
10000010,George Abbot,10008546,Thomas Morton,35,Undirected
10000010,George Abbot,10008547,Thomas Morton,19,Undirected
10000010,George Abbot,10008581,George Mountain,72,Undirected
10000010,George Abbot,10008707,John Nasmyth,19,Undirected
10000010,George Abbot,10008712,Robert Naunton,36,Undirected
10000010,George Abbot,10008729,Richard Neile,100,Undirected
10000010,George Abbot,10008920,John Norton,53,Undirected
10000010,George Abbot,10009171,Francis Ottley,37,Undirected
10000010,George Abbot,10009179,Thomas Overbury,33,Undirected
10000010,George Abbot,10009234,William Paddy,26,Undirected
10000010,George Abbot,10009241,William Page,43,Undirected
10000010,George Abbot,10009271,Herbert Palmer,76,Undirected
10000010,George Abbot,10009322,Robert Parker,23,Undirected
10000010,George Abbot,10009336,John Parkhurst,50,Undirected
10000010,George Abbot,10009406,Katherine Paston,22,Undirected
10000010,George Abbot,10009432,George Paule,43,Undirected
10000010,George Abbot,10009719,Richard Pilkington,38,Undirected
10000010,George Abbot,10009725,Paul Pindar,53,Undirected
10000010,George Abbot,10009785,John Pocklington,55,Undirected
10000010,George Abbot,10009859,Barnaby Potter,32,Undirected
10000010,George Abbot,10009929,Daniel Price,12,Undirected
10000010,George Abbot,10009939,Sampson Price,34,Undirected
10000010,George Abbot,10009981,William Prynne,17,Undirected
10000010,George Abbot,10010012,Samuel Purchas,53,Undirected
10000010,George Abbot,10010073,John Rainolds,43,Undirected
10000010,George Abbot,10010102,John Randall,17,Undirected
10000010,George Abbot,10010132,Thomas Ravis,49,Undirected
10000010,George Abbot,10010142,John Rawlinson,31,Undirected
10000010,George Abbot,10010301,Thomas Ridley,61,Undirected
10000010,George Abbot,10010333,John Roberts,59,Undirected
10000010,George Abbot,10010357,John Robinson,11,Undirected
10000010,George Abbot,10010410,Richard Rogers,54,Undirected
10000010,George Abbot,10010556,Lucy Russell,36,Undirected
10000010,George Abbot,10010606,Thomas Sackville,80,Undirected
10000010,George Abbot,10010679,John Sandford,54,Undirected
