George Abbot,Mary Wroth,20
George Abbot,John Wynn,52
George Abbot,John Young,31
George Abbot,John Young,61
George Abbot,Patrick Young,30
George Abbot,Edward la Zouche,71
George Abbot,Anne ,12
George Abbot,Frederick ,56
John Abbot,Robert Abbot,36
John Abbot,Robert Abbot,16
John Abbot,Nicholas Culpeper,56
John Abbot,Simonds D'Ewes,21
John Abbot,John Evelyn,25
John Abbot,John Evelyn,15
John Abbot,Arthur Hesilrige,18
John Abbot,Denzil Holles,13
John Abbot,Antony Rivers,49
John Abbot,James Shirley,56
John Abbot,Oliver St John,25
John Abbot,Oliver St John,13
John Abbot,Philip Stapleton,36
Maurice Abbot,Robert Abbot,77
Maurice Abbot,Robert Abbot,35
Maurice Abbot,Robert Ashley,40
Maurice Abbot,John Bate,33
Maurice Abbot,William Bedell,43
Maurice Abbot,William Bishop,14
Maurice Abbot,Nathanael Brent,52
Maurice Abbot,William Camden,37
Maurice Abbot,Dudley Carleton,46
Maurice Abbot,George Carleton,18
Maurice Abbot,John Case,45
Maurice Abbot,Christopher Clitherow,48
Maurice Abbot,William Cokayne,46
Maurice Abbot,John Coke,14
Maurice Abbot,Thomas Dale,48
Maurice Abbot,Samuel Daniel,38
Maurice Abbot,John Davenport,25
Maurice Abbot,Dudley Digges,94
Maurice Abbot,Dudley Digges,41
Maurice Abbot,John Durie,43
Maurice Abbot,Daniel Featley,46
Maurice Abbot,Thomas Fuller,12
Maurice Abbot,Thomas Fuller,24
Maurice Abbot,William Garway,18
Maurice Abbot,Thomas Goad,13
Maurice Abbot,Thomas Goade,30
Maurice Abbot,William Hammond,52
Maurice Abbot,Thomas Heywood,52
Maurice Abbot,Richard Hutton,43
Maurice Abbot,Benjamin Jonson,27
Maurice Abbot,William Laud,11
Maurice Abbot,Nicholas Leate,27
Maurice Abbot,John Lilburne,26
Maurice Abbot,George Mountain,43
Maurice Abbot,Thomas Overbury,46
Maurice Abbot,William Page,47
Maurice Abbot,William Prynne,41
Maurice Abbot,Samuel Purchas,42
Maurice Abbot,John Scott,38
Maurice Abbot,Edward Seymour,46
Maurice Abbot,Edward Seymour,62
Maurice Abbot,Richard Staper,51
Maurice Abbot,John Story,34
Maurice Abbot,John Story,16
Maurice Abbot,Charles Stuart,23
Maurice Abbot,James Stuart,85
Maurice Abbot,Josuah Sylvester,38
Maurice Abbot,John Tradescant,20
Maurice Abbot,John Tradescant,20
Maurice Abbot,Elizabeth Tudor,70
Maurice Abbot,Francis Vere,45
Maurice Abbot,John Whitgift,40
Maurice Abbot,Henry Wotton,48
Maurice Abbot,Frederick ,46
Robert Abbot,Lancelot Andrewes,43
Robert Abbot,Gervase Babington,41
Robert Abbot,Richard Bancroft,34
Robert Abbot,John Bastwick,26
Robert Abbot,Richard Baxter,13
Robert Abbot,Sebastian Benefield,31
Robert Abbot,William Bishop,84
Robert Abbot,Edward Boughen,11
Robert Abbot,Nathanael Brent,35
Robert Abbot,John Bridgeman,12
Robert Abbot,Henry Burton,32
Robert Abbot,Isaac Casaubon,38
Robert Abbot,John Case,12
Robert Abbot,John Chamberlain,57
Robert Abbot,Francis Cheynell,23
Robert Abbot,Richard Clayton,12
Robert Abbot,Gervase Clifton,14
Robert Abbot,John Coke,20
Robert Abbot,Edward Conway,11
Robert Abbot,John Cosin,31
Robert Abbot,Henry Cotton,37
Robert Abbot,Richard Crakanthorpe,28
Robert Abbot,John Davenport,28
Robert Abbot,Marco Antonio de Dominis,56
Robert Abbot,Edward Elton,16
Robert Abbot,Ralph Eure,21
Robert Abbot,Daniel Featley,93
Robert Abbot,Richard Field,12
Robert Abbot,Richard Field,52
Robert Abbot,Richard Field,25
Robert Abbot,Richard Fletcher,19
Robert Abbot,Martin Fotherby,11
Robert Abbot,Edmund Freake,42
Robert Abbot,Henry Garnett,52
Robert Abbot,John Hacket,27
Robert Abbot,Joseph Hall,19
Robert Abbot,James Hay,31
Robert Abbot,Peter Heylyn,65
Robert Abbot,Anne Howard,11
Robert Abbot,John Howson,37
Robert Abbot,John Lambe,13
Robert Abbot,Anthony Lapthorne,13
Robert Abbot,William Laud,65
Robert Abbot,George Lloyd,20
Robert Abbot,Richard Mocket,11
Robert Abbot,Thomas Morton,57
Robert Abbot,Richard Mountague,45
Robert Abbot,George Mountain,32
Robert Abbot,Richard Neile,56
Robert Abbot,John Parkhurst,33
Robert Abbot,John Preston,13
Robert Abbot,William Prynne,23
Robert Abbot,Robert Rich,16
Robert Abbot,Thomas Ridley,35
Robert Abbot,Miles Smith,43
Robert Abbot,John Stanhope,37
Robert Abbot,John Story,13
Robert Abbot,James Stuart,61
Robert Abbot,Matthew Sutcliffe,31
Robert Abbot,Elizabeth Tudor,15
Robert Abbot,Francis White,13
Robert Abbot,Francis White,15
Robert Abbot,Francis White,12
Robert Abbot,James Whitelocke,32
Robert Abbot,John Whitgift,68
Robert Abbot,Edward Wightman,13
Robert Abbot,John Williams,24
Robert Abbot,Anthony Wotton,25
Robert Abbot,John Wynn,18
