SDFB_ID,Prefix,First Name,Last Name,Suffix,Title,All Search Names,Gender,Historical Significance,Birth Year Type,Extant Birth Year,Alternate Birth Year,Death Year Type,Extant Death Year,Alternate Death Year
10000360,,William,Aspinwall,,,William Aspinwall,"male
",clergyman and ejected minister,IN,1602,1602,IN,1673,1673
10000380,,John,Asty,,,John Asty,"male
",Independent minister,IN,1675,1675,IN,1730,1730
10000384,,Richard,Atkins,,,Richard Atkins,"male
",protestant martyr,CA,1559,1559,IN,1581,1581
10000379,,Richard,Astry,,,Richard Astry,"male
",antiquary,IN,1630,1631,IN,1714,1714
10000364,,John,Astbury,,,John Astbury,"male
",potter,CA,1688,1688,CA,1743,1743
10000387,,William,Atkins,,,William Atkins,"male
",Jesuit,IN,1601,1601,IN,1681,1681
10000385,,Robert,Atkins,,,Robert Atkins,"male
",clergyman and ejected minister,IN,1628,1629,IN,1685,1685
10004011,,John,Essex,,,John Essex,"male
",dancing-master,AF,1634,NA,IN,1744,1744
10000398,,Edward,Atslowe,,,Edward Atslowe,"male
",physician,AF,1484,NA,IN,1594,1594
10000391,,Thomas,Atkinson,,,Thomas Atkinson,"male
",author,IN,1599,1599,IN,1639,1639
10000404,,William,Atwater,,,William Atwater,"male
",bishop of Lincoln,AF,1411,NA,IN,1521,1521
10000425,,Samuel,Austin,,,Samuel Austin,"male
",poet,IN,1652,1652,IN,1671,1671
10000399,,Mrs,Attaway,,,Mrs Attaway,"female
",Baptist preacher,IN,1645,1645,IN,1646,1646
10000401,,Lewis,Atterbury,,,Lewis Atterbury,"male
",Church of England clergyman,IN,1630,1631,IN,1693,1693
10000403,,Hugh,Attwell,,,Hugh Attwell,"male
",actor,IN,1597,1597,IN,1621,1621
10000410,,John,Aucher,,,John Aucher,"male
",Church of England clergyman,IN,1619,1619,IN,1701,1701
10000412,,Edmund,Audley,,,Edmund Audley,"male
",bishop of Salisbury,IN,1439,1439,IN,1524,1524
10000413,,Hugh,Audley,,,Hugh Audley,"male
",moneylender,IN,1577,1577,IN,1662,1662
10000421,,Ann,Austin,,,Ann Austin,"female
",NA,BF,1630,NA,AF,1656,NA
10000415,,Francis,Augustus Ligonier,,,Francis Augustus Ligonier,"male
",,IN,1693,1693,IN,1746,1746
10000416,,John,Aungell,,,John Aungell,"male
",religious author,AF,1456,NA,IN,1566,1568
10000419,,Abraham,Aurelius,,,Abraham Aurelius,"male
",Reformed minister,IN,1574,1576,IN,1631,1631
10000418,,Gerald,Aungier,,,Gerald Aungier,"male
",administrator in India,IN,1635,1640,IN,1677,1677
10000442,,Brabazon,Aylmer,,,Brabazon Aylmer,"male
",bookseller,IN,1683,1683,BF,1793,NA
10000431,Captain,Henry,Avery,,,Henry Avery,"male
",pirate,IN,1659,NA,CA,1696,NA
10000440,,John,Ayliffe,,,John Ayliffe,"male
",lawyer and author,IN,1676,1676,IN,1732,1732
10000449,,Philip,Ayres,,,Philip Ayres,"male
",poet and translator,IN,1638,1638,IN,1712,1712
10000438,,Richard,Ayleward,,,Richard Ayleward,"male
",composer and organist,IN,1626,1626,IN,1669,1669
10000439,,Mrs,Ayliff,,,Mrs Ayliff,"female
",singer and actress,IN,1692,1692,IN,1696,1696
10000428,,William,Averell,,,William Averell,"male
",pamphleteer,IN,1556,1556,IN,1605,1605
10000463,Sir,William,Babthorpe,,,William Babthorpe,"male
",,IN,1490,1490,IN,1555,1555
10000450,Sir,Edward,Ayscu,,,Edward Ayscu,"male
",sheriff of Lincoln,IN,1596,1596,CA,1654,1654
10000447,,William,Ayloffe,,,William Ayloffe,"male
",judge,IN,1535,1535,IN,1584,1584
10000453,,William,Babell,,,William Babell,"male
",musical arranger and harpsichordist,IN,1689,1690,IN,1723,1723
10000456,,Brute,Babington,,,Brute Babington,"male
",Church of Ireland bishop of Derry,AF,1501,NA,IN,1611,1611
10000459,,Humphrey,Babington,,,Humphrey Babington,"male
",college administrator,IN,1615,1615,IN,1692,1692
10000457,,Francis,Babington,,,Francis Babington,"male
",college head,AF,1459,NA,CA,1569,1569
10000465,Sir,William,Babthorpe,,,William Babthorpe,"male
",,IN,1580,1580,IN,1635,1635
10000460,,John,Babington,,,John Babington,"male
",soldier and mathematician,IN,1604,1604,AF,1635,1635
10000464,Sir,William,Babthorpe,,,William Babthorpe,"male
",,IN,1529,1529,IN,1581,1581
10000462,Sir,Ralph,Babthorpe,,,Ralph Babthorpe,"male
",,IN,1561,1561,IN,1618,1618
10000461,,Grace,Babthorpe,,,Grace Babthorpe,"female
",,IN,1563,1563,IN,1635,1635
10001577,Sir,Richard,Broke,,,Richard Broke,"male
",judge,AF,1419,NA,IN,1529,1529
10010502,,Owen,Rowe,,,Owen Rowe,"male
",merchant and regicide,IN,1592,1593,IN,1661,1661
10000482,,Nathaniel,Bacon,,,Nathaniel Bacon,"male
",politician in Virginia,IN,1647,1647,IN,1676,1676
10000497,Sir,Edward,Bagot,,,Edward Bagot,"male
",,IN,1616,1616,IN,1673,1673
10000477,,Mathew,Bacon,,,Mathew Bacon,"male
",legal writer,CA,1700,1700,BF/IN,1757,1757
10000478,,Montagu,Bacon,,,Montagu Bacon,"male
",Church of England clergyman and writer,IN,1688,1688,IN,1749,1749
10000499,Sir,Lewis,Bagot,,,Lewis Bagot,"male
",,IN,1461,1461,IN,1534,1534
10000486,,Thomas,Bacon,,,Thomas Bacon,"male
",Church of England clergyman and musician,CA,1700,1700,IN,1768,1768
10000488,,Richard,Badiley,,,Richard Badiley,"male
",naval officer,IN,1616,1616,IN,1657,1657
10000489,,Edward,Baeshe,,,Edward Baeshe,"male
",naval administrator and politician,IN,1507,1507,IN,1587,1587
10000498,Sir,Hervey,Bagot,,,Hervey Bagot,"male
",,IN,1591,1591,IN,1660,1660
10000485,,Philip,Bacon,,,Philip Bacon,"male
",naval officer,AF,1556,NA,IN,1666,1666
10000487,,Benjamin,Baddam,,,Benjamin Baddam,"male
",printer and compiler of the Memoirs of the Royal Society,CA,1693,1693,CA,1740,1740
10000496,,Humphrey,Baggerley,,,Humphrey Baggerley,"male
",army officer and supposed biographer,IN,1648,1648,IN,1654,1654
10000501,,Walter,Bagot,,,Walter Bagot,"male
",,IN,1557,1557,IN,1623,1623
10000500,,Richard,Bagot,,,Richard Bagot,"male
",,IN,1530,1530,IN,1597,1597
10000484,,Phanuel,Bacon,,,Phanuel Bacon,"male
",Church of England clergyman and writer,IN,1700,1700,IN,1783,1783
10000534,,George,Baker,,,George Baker,"male
",surgeon,IN,1540,1540,IN,1612,1612
10000535,,Henry,Baker,,,Henry Baker,"male
",army officer,AF,1579,NA,IN,1689,1689
10000539,,John,Baker,,,John Baker,"male
",naval officer and politician,IN,1660,1660,IN,1716,1716
10000541,,Matthew,Baker,,,Matthew Baker,"male
",shipwright,IN,1529,1530,IN,1613,NA
10000506,,Henry,Bagshaw,,,Henry Bagshaw,"male
",Church of England clergyman,IN,1631,1634,IN,1709,1709
10000509,,William,Bagwell,,,William Bagwell,"male
",merchant and writer on astronomy,CA,1593,1593,AF/IN,1664,1664
10000512,,Alexander,Baillie,,,Alexander Baillie,"male
",abbot of Regensburg,IN,1590,1590,IN,1655,1655
10000511,,Nathan,Bailey,,,Nathan Bailey,"male
",lexicographer and schoolmaster,IN,1691,1691,IN,1742,1742
10000520,,William,Baillie,of Provand,,William Baillie of Provand,"male
",judge,AF,1483,NA,IN,1593,1593
10000514,,Cuthbert,Baillie,,,Cuthbert Baillie,"male
",administrator,AF,1403,NA,IN,1513,1513
10000522,,Thomas,Baily,,,Thomas Baily,"male
",Roman Catholic priest and college head,IN,1527,1527,IN,1591,1591
10000517,,James,Baillie,,,James Baillie,"male
",advocate,IN,1672,1672,IN,1744,1744
10000526,,Reginald,Bainbrigg,,,Reginald Bainbrigg,"male
",,IN,1489,1489,IN,1554,1554
10000537,,Humphrey,Baker,,,Humphrey Baker,"male
",writer on astrology and arithmetic,IN,1557,1557,IN,1574,1574
10000542,,Pacificus,Baker,,,Pacificus Baker,"male
",Franciscan friar,IN,1695,1695,IN,1774,1774
10000554,Sir,Robert,Baldock,,,Robert Baldock,"male
",judge,IN,1624,1625,IN,1691,1691
10001351,Sir,John,Bourchier,,,John Bourchier,"male
",politician and regicide,IN,1595,1595,IN,1660,1660
10000550,,William,Baker,,,William Baker,"male
",bishop of Norwich,IN,1668,1668,IN,1732,1732
10000553,Sir,John,Balchen,,,John Balchen,"male
",naval officer,IN,1670,1670,IN,1744,1744
10000559,Sir,Timothy,Baldwin,,,Timothy Baldwin,"male
",lawyer,IN,1619,1619,IN,1696,1696
10000567,,Robert,Balfour,,,Robert Balfour,"male
",politician,AF,1553,NA,IN,1663,1663
10000545,,Robert,Baker,,,Robert Baker,"male
",mariner and poet,CA,1563,1563,CA,1563,1563
10000555,,Abigail,Baldwin,,,Abigail Baldwin,"female
",,IN,1658,1658,IN,1713,1713
10000574,,Nathanael,Ball,,,Nathanael Ball,"male
",clergyman and ejected minister,IN,1623,1623,IN,1681,1681
10000568,,Robert,Balfour,,,Robert Balfour,"male
",philosopher and classical scholar,CA,1555,1555,AF/IN,1621,1621
10000571,,John,Balguy,,,John Balguy,"male
",Church of England clergyman and moral philosopher,IN,1686,1686,IN,1748,1748
10000569,,Robert,Balfour,,,Robert Balfour,"male
",murderer and Jacobite sympathizer,AF,1647,NA,IN,1757,1757
10000579,,William,Ballantine,,,William Ballantine,"male
",Roman Catholic priest,IN,1617,1618,IN,1661,1661
10000576,,Peter,Ball,,,Peter Ball,"male
",physician,IN,1638,1638,IN,1675,1675
10000586,,Samuel,Bamford,,,Samuel Bamford,"male
",Church of England clergyman,AF,1547,NA,IN,1657,1657
10011464,,James,Stanihurst,,,James Stanihurst,"male
",speaker of the Irish House of Commons and recorder of Dublin,IN,1521,1522,IN,1573,1573
